,owner,explore_level,exist,DFA,RR,inital_state,resource
10 73,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260540.18458
10 74,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260517.28963
10 75,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260515.48467
10 76,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260553.52095
10 77,0.0,18239.0,0.0,1.0,1.0,1.0,-51884264261.55478
10 78,0.0,18239.0,0.0,1.0,1.0,1.0,-51884262909.983055
10 79,0.0,18239.0,0.0,1.0,1.0,0.0,-51884263827.78558
10 80,0.0,18239.0,1.0,0.0,1.0,0.0,-51884262910.983055
10 81,0.0,18239.0,0.0,1.0,1.0,0.0,-51884254835.27314
10 82,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829164.978243
10 83,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829164.978243
10 84,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829164.918251
10 85,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829177.718925
10 86,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829177.718925
10 87,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829163.918251
10 88,0.0,19154.0,1.0,0.0,1.0,0.0,-10342822882.452654
10 89,0.0,19154.0,1.0,0.0,1.0,0.0,-10342817804.086412
10 90,0.0,19154.0,1.0,0.0,1.0,0.0,-10342795608.752409
10 91,0.0,33755.0,0.0,1.0,1.0,0.0,-312410038335.0704
10 92,0.0,33755.0,1.0,0.0,1.0,0.0,-312410072866.5403
10 93,0.0,33755.0,1.0,0.0,1.0,0.0,-312410077366.29443
10 94,0.0,33755.0,1.0,0.0,1.0,4.0,-312410065307.3107
10 95,0.0,33755.0,0.0,1.0,1.0,0.0,-312367111144.7713
10 96,0.0,8691.0,1.0,0.0,1.0,0.0,-2887814871.989435
10 97,0.0,2110.0,1.0,0.0,1.0,0.0,-2828389696.1863766
10 98,686,35,1,0,0,0,2463.7945107893825
10 99,686,35,1,0,0,1,2489.2419283134604
11 0,0.0,15512.0,1.0,0.0,1.0,0.0,-5350435716.752154
11 1,0.0,15512.0,1.0,0.0,1.0,0.0,-5350332643.541575
11 2,0.0,1.0,1.0,0.0,1.0,1.0,-2634392980.103764
11 3,0.0,12303.0,0.0,1.0,1.0,1.0,-2634663334.105092
11 4,0.0,1482.0,1.0,0.0,1.0,3.0,-2634107220.8934946
11 5,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891331.700885
11 6,0.0,1487.0,1.0,0.0,1.0,0.0,-2632180249.5701427
11 7,0.0,766.0,1.0,0.0,1.0,1.0,-2634864499.8628535
11 8,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891493.037454
11 9,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891346.0119343
11 10,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891344.875284
11 11,0.0,1.0,1.0,0.0,1.0,4.0,-2634891051.5269575
11 12,0.0,12303.0,0.0,1.0,1.0,0.0,-2634891333.548624
11 13,0.0,179999.0,1.0,0.0,1.0,0.0,-12734207245.53714
11 14,0.0,179999.0,1.0,0.0,1.0,2.0,-12734223687.851776
11 15,0.0,179999.0,1.0,0.0,1.0,1.0,-12734200805.619751
11 16,0.0,179999.0,1.0,0.0,1.0,0.0,-12734220986.0355
11 17,0.0,179999.0,1.0,0.0,1.0,1.0,-12734220985.0355
11 18,0.0,179999.0,1.0,0.0,1.0,0.0,-12734206537.384483
11 19,0.0,179999.0,1.0,0.0,1.0,0.0,-12734003819.447014
11 20,0.0,179999.0,1.0,0.0,1.0,3.0,-12734209575.612648
11 21,0.0,179999.0,1.0,0.0,1.0,1.0,-12734207407.748497
11 22,0.0,179999.0,1.0,0.0,1.0,3.0,-12734198099.781937
11 23,0.0,179999.0,1.0,0.0,1.0,0.0,-12632389011.663803
11 24,0.0,258390.0,1.0,0.0,1.0,1.0,-102719873543701.52
11 25,0.0,2959.0,1.0,0.0,1.0,1.0,-102699845894055.12
11 26,0.0,8541.0,1.0,0.0,1.0,0.0,-2271441550.1607885
11 27,0.0,8541.0,1.0,0.0,1.0,0.0,-2271437757.48399
11 28,0.0,8541.0,1.0,0.0,1.0,1.0,-2270530326.920662
11 29,0.0,17326.0,1.0,0.0,1.0,1.0,-3303666288.5153584
11 30,0.0,17326.0,1.0,0.0,1.0,0.0,-3241228429.125515
11 31,0.0,17326.0,1.0,0.0,1.0,0.0,-3303572400.504793
11 32,0.0,17326.0,1.0,0.0,1.0,0.0,-3517085645.130648
11 33,0.0,17326.0,1.0,0.0,1.0,0.0,-3517085645.130648
11 34,0.0,17326.0,1.0,0.0,1.0,0.0,-3517725311.951306
11 35,0.0,24477.0,1.0,0.0,1.0,1.0,-39750807.41255283
11 36,0.0,3348.0,1.0,0.0,1.0,0.0,-17464658.16432403
11 37,0.0,7486.0,1.0,0.0,1.0,0.0,-249118937285.3217
11 38,460,14185,1,0,0,0,307192712.7671979
11 39,0.0,14168.0,1.0,0.0,1.0,0.0,-3347854545.8724704
11 40,0.0,12190.0,1.0,0.0,1.0,0.0,-3399308932.11594
11 41,460,241,0,1,0,0,91376.95993147793
11 42,0.0,17758.0,1.0,0.0,1.0,1.0,-843594845.762135
11 43,460,197,0,1,0,0,61536.66671906952
11 44,460,197,0,1,0,1,61537.66671906952
11 45,460,42,0,1,0,0,3260.4557780979694
11 46,0.0,17758.0,0.0,1.0,1.0,0.0,-1132825688.8129387
11 47,0.0,17758.0,1.0,0.0,1.0,0.0,-1132821742.7387846
11 48,0,0,1,0,0,1,1
11 49,0,0,1,0,0,0,0
11 50,460,14185,1,0,0,0,353820037.7928005
11 51,0.0,12247.0,1.0,0.0,1.0,0.0,-51877160361.81747
11 52,0.0,18239.0,1.0,0.0,1.0,1.0,-51878609468.66187
11 53,0.0,17444.0,1.0,0.0,1.0,0.0,-9587089870.74831
11 54,0.0,18239.0,1.0,0.0,1.0,1.0,-51884023052.89615
11 55,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107325.27956
11 56,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107326.23699
11 57,0.0,18239.0,1.0,0.0,1.0,1.0,-51884107325.534676
11 58,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107341.13028
11 59,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107341.13028
11 60,0.0,18239.0,1.0,0.0,1.0,1.0,-51884107639.48874
11 61,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107326.534676
11 62,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107152.17805
11 63,0.0,18239.0,0.0,1.0,1.0,0.0,-51884096171.37283
11 64,0.0,331540.0,1.0,0.0,1.0,1.0,-2868698721677.5317
11 65,0.0,331540.0,1.0,0.0,1.0,3.0,-2868698721675.5317
11 66,0.0,1.0,1.0,0.0,1.0,2.0,-2868698721732.8
11 67,0.0,331540.0,1.0,0.0,1.0,2.0,-2868698709550.0464
11 68,0.0,331540.0,1.0,0.0,1.0,3.0,-2868698709600.856
11 69,0.0,18239.0,0.0,1.0,1.0,1.0,-51820054414.438034
11 70,0.0,18239.0,1.0,0.0,1.0,1.0,-51820171076.9726
11 71,0.0,18239.0,1.0,0.0,1.0,1.0,-51820234372.14556
11 72,0.0,18239.0,1.0,0.0,1.0,2.0,-51820259900.53243
11 73,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260539.18458
11 74,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260699.94519
11 75,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260703.89575
11 76,0.0,18239.0,1.0,0.0,1.0,4.0,-51884254831.27314
11 77,0.0,18239.0,1.0,0.0,1.0,1.0,-51884260806.48765
11 78,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260699.94519
11 79,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260516.889175
11 80,0.0,1.0,1.0,0.0,1.0,1.0,-51884254122.70745
11 81,0.0,18239.0,0.0,1.0,1.0,1.0,-51884254122.707275
11 82,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829176.718925
11 83,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829176.439272
11 84,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829175.439272
11 85,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829180.547459
11 86,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829216.926252
11 87,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829163.918251
11 88,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829164.918251
11 89,0.0,19154.0,1.0,0.0,1.0,1.0,-10342822881.452654
11 90,0.0,19154.0,1.0,0.0,1.0,4.0,-10342821419.84123
11 91,0.0,33755.0,0.0,1.0,1.0,1.0,-312410065393.8762
11 92,0.0,33755.0,1.0,0.0,1.0,0.0,-312410077348.5337
11 93,0.0,33755.0,1.0,0.0,1.0,1.0,-312410077366.4126
11 94,0.0,33755.0,0.0,1.0,1.0,0.0,-312410072721.22577
11 95,0.0,8691.0,1.0,0.0,1.0,0.0,-2891019767.850081
11 96,0.0,8691.0,1.0,0.0,1.0,0.0,-2900624236.240604
11 97,0.0,35.0,1.0,0.0,1.0,0.0,-2900151216.8269286
11 98,686,35,1,0,0,0,2450.6601562966357
11 99,686,35,1,0,0,0,2450.6601562966357
12 0,0.0,15512.0,1.0,0.0,1.0,0.0,-5350435716.752154
12 1,0.0,6989.0,1.0,0.0,1.0,1.0,-2639980261.174358
12 2,0.0,12303.0,1.0,0.0,1.0,0.0,-2634196688.5067716
12 3,0.0,12303.0,1.0,0.0,1.0,0.0,-2634747167.805498
12 4,0.0,1335.0,1.0,0.0,1.0,0.0,-2634883751.105948
12 5,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891331.700885
12 6,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891306.3250003
12 7,0.0,12303.0,1.0,0.0,1.0,1.0,-2634891318.996862
12 8,0.0,12303.0,1.0,0.0,1.0,5.0,-2634891560.4419813
12 9,0.0,12303.0,1.0,0.0,1.0,1.0,-2634891499.9525824
12 10,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891500.9525824
12 11,0.0,12303.0,1.0,0.0,1.0,1.0,-2634891493.76558
12 12,0.0,12303.0,1.0,0.0,1.0,1.0,-2634891492.037454
12 13,0.0,12303.0,0.0,1.0,1.0,0.0,-2634890851.8637176
12 14,0.0,12303.0,0.0,1.0,1.0,0.0,-2634877160.42994
12 15,0.0,1.0,1.0,0.0,1.0,2.0,-12732298452.602816
12 16,0.0,179999.0,0.0,1.0,1.0,1.0,-12734206831.414955
12 17,0.0,179999.0,1.0,0.0,1.0,2.0,-12734209594.749214
12 18,0.0,179999.0,1.0,0.0,1.0,0.0,-12734041259.593185
12 19,0.0,179999.0,0.0,1.0,1.0,2.0,-12732989675.496803
12 20,0.0,179999.0,1.0,0.0,1.0,1.0,-12734209521.466614
12 21,0.0,179999.0,1.0,0.0,1.0,1.0,-12734176505.081894
12 22,0.0,179999.0,1.0,0.0,1.0,0.0,-12734174466.996971
12 23,0.0,179999.0,1.0,0.0,1.0,3.0,-12728345751.149727
12 24,0.0,258390.0,1.0,0.0,1.0,0.0,-102701669856465.62
12 25,0.0,6870.0,1.0,0.0,1.0,1.0,-102627039029717.06
12 26,0.0,8541.0,1.0,0.0,1.0,1.0,-2269484795.9562593
12 27,0.0,8541.0,1.0,0.0,1.0,0.0,-2268273264.5198603
12 28,0,0,1,0,0,0,0
12 29,0,0,1,0,0,0,0
12 30,0,0,1,0,0,0,0
12 31,0,0,1,0,0,3,3
12 32,0.0,24477.0,1.0,0.0,1.0,1.0,-75812397.1378876
12 33,0.0,1.0,1.0,0.0,1.0,1.0,-73722031.45028976
12 34,0.0,24477.0,1.0,0.0,1.0,0.0,-77226864.93007839
12 35,0.0,24477.0,1.0,0.0,1.0,2.0,-36565852.524409465
12 36,0.0,24477.0,1.0,0.0,1.0,0.0,-77359393.75175285
12 37,0.0,529.0,1.0,0.0,1.0,0.0,-36143362.34749818
12 38,0.0,2963.0,1.0,0.0,1.0,0.0,-3726626343.3349423
12 39,0.0,35075.0,1.0,0.0,1.0,3.0,-3741507026.268744
12 40,0.0,197.0,1.0,0.0,1.0,1.0,-3741420459.984384
12 41,460,243,0,1,0,0,93210.13249789234
12 42,460,241,0,1,0,0,96119.8696823575
12 43,460,241,0,1,0,0,90396.43810085396
12 44,460,14185,1,0,0,0,307192635.91123015
12 45,460,89,0,1,0,1,15456.971571767981
12 46,460,42,0,1,0,0,3546.326264327571
12 47,0.0,17758.0,1.0,0.0,1.0,0.0,-1132626754.2847097
12 48,460,14185,1,0,0,1,308143701.2778765
12 49,460,14185,1,0,0,0,502526275.0849166
12 50,460,14185,1,0,0,3,319193991.6598626
12 51,0.0,12249.0,1.0,0.0,1.0,2.0,-51852662768.74716
12 52,0.0,17444.0,1.0,0.0,1.0,0.0,-9704838230.987898
12 53,0.0,17444.0,1.0,0.0,1.0,0.0,-9636662978.776192
12 54,0.0,18239.0,1.0,0.0,1.0,1.0,-51878993340.718124
12 55,0.0,18239.0,1.0,0.0,1.0,1.0,-51884107324.27956
12 56,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107326.23699
12 57,0.0,1.0,1.0,0.0,1.0,2.0,-51884107323.27968
12 58,0.0,1.0,1.0,0.0,1.0,2.0,-51884107324.534874
12 59,0.0,18239.0,1.0,0.0,1.0,1.0,-51884107340.13028
12 60,0.0,18239.0,1.0,0.0,1.0,2.0,-51884107339.13028
12 61,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107152.17805
12 62,0.0,18239.0,1.0,0.0,1.0,0.0,-51884023053.89615
12 63,0.0,18239.0,0.0,1.0,1.0,0.0,-51884021294.694374
12 64,0.0,331540.0,1.0,0.0,1.0,0.0,-2868698721678.5317
12 65,0.0,331540.0,1.0,0.0,1.0,0.0,-2868698721678.5317
12 66,0.0,331540.0,1.0,0.0,1.0,1.0,-2868698721355.3403
12 67,0.0,331540.0,1.0,0.0,1.0,3.0,-2868698709856.7183
12 68,0.0,331540.0,1.0,0.0,1.0,1.0,-2868698709581.834
12 69,0.0,18239.0,1.0,0.0,1.0,1.0,-51820042665.14911
12 70,0.0,18239.0,0.0,1.0,1.0,0.0,-51820199219.01433
12 71,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260737.79889
12 72,0.0,18239.0,1.0,0.0,1.0,3.0,-51820260738.89203
12 73,0.0,18239.0,1.0,0.0,1.0,2.0,-51820260817.04837
12 74,0.0,18239.0,1.0,0.0,1.0,2.0,-51820260739.89203
12 75,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260736.79889
12 76,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260700.53392
12 77,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260699.53392
12 78,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260699.94519
12 79,0.0,18239.0,1.0,0.0,1.0,0.0,-51820054415.438034
12 80,0.0,18239.0,1.0,0.0,1.0,0.0,-51820198176.77804
12 81,0.0,18239.0,0.0,1.0,1.0,3.0,-51883920304.47626
12 82,0.0,19154.0,1.0,0.0,1.0,2.0,-10342829175.718925
12 83,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829180.547459
12 84,0.0,19154.0,1.0,0.0,1.0,3.0,-10342829178.547459
12 85,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829181.547459
12 86,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829241.56008
12 87,0.0,19154.0,1.0,0.0,1.0,3.0,-10342829173.439272
12 88,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829165.337425
12 89,0.0,19154.0,1.0,0.0,1.0,0.0,-10342829158.971266
12 90,0.0,19154.0,1.0,0.0,1.0,0.0,-10342821423.84123
12 91,0.0,33755.0,0.0,1.0,1.0,0.0,-312410072721.22577
12 92,0.0,33755.0,1.0,0.0,1.0,0.0,-312410073154.2685
12 93,0.0,33755.0,1.0,0.0,1.0,0.0,-312410077367.4126
12 94,303,2066,0,1,0,0,7068382.521328199
12 95,0.0,8691.0,1.0,0.0,1.0,0.0,-2892469915.9958572
12 96,0.0,8691.0,1.0,0.0,1.0,0.0,-2900639035.8991117
12 97,0.0,8691.0,0.0,1.0,1.0,1.0,-2898956153.8109846
12 98,686,35,1,0,0,1,2451.6601562966357
12 99,686,35,1,0,0,1,2337.288203736338
13 0,0.0,12303.0,1.0,0.0,1.0,2.0,-2633274427.0517106
13 1,0.0,15512.0,1.0,0.0,1.0,2.0,-5350184464.082751
13 2,0.0,12303.0,1.0,0.0,1.0,2.0,-2634505090.8276987
13 3,0.0,12303.0,1.0,0.0,1.0,1.0,-2634611902.1704173
13 4,0.0,12303.0,1.0,0.0,1.0,5.0,-2634890421.654533
13 5,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891318.8087573
13 6,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891346.1036325
13 7,0.0,12303.0,1.0,0.0,1.0,2.0,-2634891347.4883437
13 8,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891494.76558
13 9,0.0,12303.0,1.0,0.0,1.0,1.0,-2634891499.9525824
13 10,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891500.9525824
13 11,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891346.458572
13 12,0.0,12303.0,1.0,0.0,1.0,3.0,-2634891346.4883437
13 13,0.0,12303.0,0.0,1.0,1.0,3.0,-2634891313.923773
13 14,0.0,12303.0,0.0,1.0,1.0,0.0,-2632655023.626762
13 15,0.0,179999.0,1.0,0.0,1.0,0.0,-12734201576.832909
13 16,0.0,179999.0,1.0,0.0,1.0,0.0,-12734177156.240364
13 17,0.0,179999.0,0.0,1.0,1.0,0.0,-12734209578.612648
13 18,176,2700,0,1,0,0,12639191.361582449
13 19,0.0,134954.0,1.0,0.0,1.0,0.0,-775834843326.753
13 20,0,0,1,0,0,3,3
13 21,0.0,179999.0,1.0,0.0,1.0,0.0,-12728742352.879456
13 22,0.0,134954.0,1.0,0.0,1.0,0.0,-758693078783.1761
13 23,0,0,1,0,0,0,0
13 24,0.0,258390.0,1.0,0.0,1.0,0.0,-102701669856465.62
13 25,0.0,2956.0,1.0,0.0,1.0,0.0,-102627031170310.47
13 26,0.0,8541.0,1.0,0.0,1.0,1.0,-2268243863.8231874
13 27,0.0,8541.0,1.0,0.0,1.0,0.0,-2262239012.7301
13 28,0,0,1,0,0,0,0
13 29,0,0,1,0,0,0,0
13 30,888,1,1,0,0,1,6.025551318047697
13 31,0,0,1,0,0,1,1
13 32,0.0,1.0,1.0,0.0,1.0,1.0,-249389051717.27188
13 33,0.0,24488.0,1.0,0.0,1.0,1.0,-249222971052.61847
13 34,0.0,24477.0,1.0,0.0,1.0,0.0,-77361412.48038805
13 35,0.0,24477.0,1.0,0.0,1.0,0.0,-77362006.4591502
13 36,0.0,24488.0,1.0,0.0,1.0,3.0,-249222318766.77893
13 37,0,0,1,0,0,0,0
13 38,0.0,35075.0,1.0,0.0,1.0,0.0,-3741520390.0800614
13 39,0.0,35075.0,1.0,0.0,1.0,0.0,-3741520391.7655044
13 40,0.0,35075.0,1.0,0.0,1.0,0.0,-3741308802.989541
13 41,0.0,241.0,1.0,0.0,1.0,1.0,-3701352681.2658577
13 42,0.0,12247.0,1.0,0.0,1.0,3.0,-2904084059.4934244
13 43,460,14185,1,0,0,1,307196923.8086266
13 44,460,14185,1,0,0,0,307192716.5398656
13 45,460,14185,1,0,0,3,307197417.63390183
13 46,460,90,0,1,0,4,20589.6390926099
13 47,460,14185,1,0,0,3,307489939.3712314
13 48,460,14185,1,0,0,0,307489936.3712314
13 49,460,14185,1,0,0,0,311757267.3457695
13 50,460,14185,1,0,0,0,311767075.9970748
13 51,0,0,1,0,0,1,1
13 52,0.0,17444.0,1.0,0.0,1.0,0.0,-9704880631.355198
13 53,0.0,1.0,1.0,0.0,1.0,3.0,-9705154072.184124
13 54,0.0,17444.0,1.0,0.0,1.0,2.0,-9705090763.447277
13 55,0.0,17444.0,1.0,0.0,1.0,1.0,-9705164834.238964
13 56,0.0,17444.0,1.0,0.0,1.0,0.0,-9705167024.61644
13 57,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107325.27956
13 58,0.0,18239.0,1.0,0.0,1.0,2.0,-51884107150.17805
13 59,0.0,18239.0,1.0,0.0,1.0,0.0,-51884107325.27956
13 60,0.0,18239.0,1.0,0.0,1.0,1.0,-51884090812.69304
13 61,0.0,18239.0,1.0,0.0,1.0,0.0,-51884096171.37283
13 62,0.0,18239.0,0.0,1.0,1.0,0.0,-51884042476.73914
13 63,0.0,331540.0,1.0,0.0,1.0,1.0,-2868698719437.5806
13 64,0.0,331540.0,1.0,0.0,1.0,5.0,-2868698720183.581
13 65,0.0,331540.0,1.0,0.0,1.0,2.0,-2868698721676.498
13 66,0.0,1.0,1.0,0.0,1.0,1.0,-2868698721674.9087
13 67,0.0,331540.0,1.0,0.0,1.0,1.0,-2868698721674.908
13 68,0.0,331540.0,1.0,0.0,1.0,1.0,-2868698709798.6055
13 69,0.0,33053.0,1.0,0.0,1.0,3.0,-49151452338.934
13 70,0.0,18239.0,0.0,1.0,1.0,4.0,-51820249125.90475
13 71,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260736.79889
13 72,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260703.89575
13 73,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260741.89203
13 74,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260740.89203
13 75,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260737.79889
13 76,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260736.79889
13 77,0.0,18239.0,1.0,0.0,1.0,2.0,-51820260516.28963
13 78,0.0,18239.0,1.0,0.0,1.0,1.0,-51820260698.94519
13 79,0.0,18239.0,1.0,0.0,1.0,0.0,-51820260246.25878
13 80,0.0,18239.0,1.0,0.0,1.0,3.0,-51820237425.708534
13 81,0.0,18239.0,1.0,0.0,1.0,0.0,-51820171025.3426
13 82,0.0,18239.0,0.0,1.0,1.0,0.0,-51820042479.220055
13 83,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829144.986877
13 84,0.0,19154.0,1.0,0.0,1.0,3.0,-10342829161.918251
13 85,0.0,19154.0,1.0,0.0,1.0,1.0,-10342829157.971266
13 86,0.0,5274.0,0.0,1.0,1.0,0.0,-590098240.3825802
13 87,0.0,5274.0,0.0,1.0,1.0,3.0,-590355864.3893366
13 88,0.0,5274.0,0.0,1.0,1.0,2.0,-589853837.3002226
13 89,0.0,19154.0,1.0,0.0,1.0,1.0,-10342828713.87871
13 90,0.0,33755.0,0.0,1.0,1.0,0.0,-312410072866.5403
13 91,0.0,33755.0,0.0,1.0,1.0,1.0,-312410077347.5337
13 92,0.0,33755.0,1.0,0.0,1.0,0.0,-312410077366.29443
13 93,0.0,33755.0,1.0,0.0,1.0,1.0,-312410077365.29443
13 94,303,1834,0,1,0,0,5860723.435657832
13 95,303,1804,0,1,0,3,5711375.950842711
13 96,0.0,8691.0,1.0,0.0,1.0,2.0,-2900672675.9161954
13 97,0.0,8691.0,0.0,1.0,1.0,1.0,-2900666662.311878
13 98,0.0,8691.0,1.0,0.0,1.0,1.0,-2850362827.7046256
13 99,0,0,1,0,0,2,2
14 0,0.0,12303.0,1.0,0.0,1.0,1.0,-2634196687.5067716
14 1,0.0,7162.0,1.0,0.0,1.0,0.0,-2642479795.206004
14 2,0.0,12303.0,1.0,0.0,1.0,1.0,-2634818441.393571
14 3,0.0,1.0,1.0,0.0,1.0,1.0,-2634829234.425171
14 4,0.0,12303.0,1.0,0.0,1.0,4.0,-2628017107.5605164
14 5,0.0,12303.0,1.0,0.0,1.0,3.0,-2634859538.039201
14 6,0.0,12303.0,1.0,0.0,1.0,0.0,-2634828711.9564257
14 7,0.0,12303.0,1.0,0.0,1.0,3.0,-2634890410.7017646
14 8,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891346.458572
14 9,0.0,12303.0,1.0,0.0,1.0,1.0,-2634891348.4883437
14 10,0.0,12303.0,1.0,0.0,1.0,1.0,-2634891330.700885
14 11,0.0,12303.0,1.0,0.0,1.0,0.0,-2634883522.113845
14 12,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891346.1036325
14 13,0.0,12303.0,1.0,0.0,1.0,0.0,-2634891346.1036325
14 14,0.0,12303.0,0.0,1.0,1.0,0.0,-2634851699.5342054
14 15,0.0,134954.0,0.0,1.0,1.0,1.0,-775835433327.3481
14 16,0.0,179999.0,0.0,1.0,1.0,0.0,-12557904856.13665
14 17,0.0,134954.0,1.0,0.0,1.0,1.0,-775835106858.5217
14 18,0.0,134954.0,1.0,0.0,1.0,0.0,-775835088007.303
14 19,0.0,134954.0,1.0,0.0,1.0,0.0,-775834735809.4248
14 20,0.0,134954.0,1.0,0.0,1.0,3.0,-775833584478.4886
14 21,0.0,134954.0,1.0,0.0,1.0,4.0,-774243977103.3861
14 22,0.0,134954.0,1.0,0.0,1.0,0.0,-759300294487.4276
14 23,0,0,1,0,0,0,0
14 24,0,0,1,0,0,0,0
14 25,0,0,1,0,0,1,1
14 26,0,0,1,0,0,0,0
14 27,0,0,1,0,0,0,0
14 28,0,0,1,0,0,0,0
14 29,0,0,1,0,0,0,0
14 30,0,0,1,0,0,2,2
14 31,0,0,1,0,0,0,0
14 32,0,0,1,0,0,0,0
14 33,0.0,24477.0,1.0,0.0,1.0,1.0,-39750807.41255283
14 34,0.0,24477.0,1.0,0.0,1.0,1.0,-77362005.32212412
14 35,0.0,24477.0,1.0,0.0,1.0,1.0,-77362014.01043463
14 36,0.0,24477.0,1.0,0.0,1.0,4.0,-76057401.60186696
14 37,0.0,35075.0,1.0,0.0,1.0,1.0,-3741522340.8706837
14 38,0.0,35075.0,1.0,0.0,1.0,1.0,-3741524180.3549232
14 39,0.0,35075.0,1.0,0.0,1.0,0.0,-3741523218.400153
14 40,0.0,35075.0,1.0,0.0,1.0,0.0,-3741479244.081264
14 41,0.0,35075.0,1.0,0.0,1.0,0.0,-3741081099.1910014
14 42,0.0,2078.0,1.0,0.0,1.0,0.0,-3360858212.816715
14 43,460,14185,1,0,0,0,307228100.4370917
14 44,460,14185,1,0,0,0,307228030.495845
14 45,460,14185,1,0,0,1,307197398.94373596
14 46,460,14185,1,0,0,0,307197397.94373596
14 47,460,14185,1,0,0,0,307247258.5963036
14 48,460,14185,1,0,0,0,307247755.5976423
14 49,460,14185,1,0,0,1,311767990.8735497
14 50,460,14185,1,0,0,1,319193989.6598626
14 51,0.0,17444.0,1.0,0.0,1.0,1.0,-9704838124.377783
14 52,0.0,17444.0,1.0,0.0,1.0,0.0,-9705164679.992537
14 53,0.0,17444.0,1.0,0.0,1.0,0.0,-9705165963.025967
14 54,0.0,17444.0,1.0,0.0,1.0,0.0,-9705167098.874584
14 55,0.0,17444.0,1.0,0.0,1.0,1.0,-9705167120.180664
14 56,0.0,17444.0,1.0,0.0,1.0,0.0,-9705167098.874584
14 57,0.0,17444.0,1.0,0.0,1.0,4.0,-3987970964.7350497
14 58,0.0,17444.0,1.0,0.0,1.0,0.0,-9705165984.396929
14 59,0.0,16968.0,1.0,0.0,1.0,0.0,-51714183603.839836
14 60,0.0,18239.0,1.0,0.0,1.0,0.0,-51884024207.88263
14 61,0.0,18239.0,0.0,1.0,1.0,0.0,-51884021660.493065
14 62,0.0,331540.0,1.0,0.0,1.0,0.0,-2868698719470.5234
14 63,0.0,331540.0,1.0,0.0,1.0,3.0,-2868698719519.3086
14 64,0.0,331540.0,1.0,0.0,1.0,2.0,-2868698719520.3086
14 65,0.0,331540.0,1.0,0.0,1.0,2.0,-2868698721673.908
