,owner,explore_level,exist,DFA,RR,inital_state,resource
0 86,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792310.6897087
0 87,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792310.6897087
0 88,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792279.22524
0 89,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792079.749822
0 90,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792035.2846093
0 91,0,0,1,0,0,1,1
0 92,0,0,1,0,0,0,0
0 93,538,2110,1,0,0,1,6786009.872916055
0 94,538,2110,1,0,0,0,6759248.589427276
0 95,538,2110,1,0,0,1,6725147.487254431
0 96,538,2110,1,0,0,2,6590425.684800023
0 97,538,2110,1,0,0,0,6590388.834954143
0 98,538,2110,1,0,0,0,6588619.34829187
0 99,538,2110,1,0,0,2,6588577.679172223
1 0,0.0,6020.0,1.0,0.0,1.0,2.0,-22121382.817379236
1 1,0.0,6020.0,1.0,0.0,1.0,0.0,-22121384.94664347
1 2,0.0,6020.0,1.0,0.0,1.0,3.0,-22121381.817379236
1 3,0.0,6020.0,1.0,0.0,1.0,0.0,-22121379.569769934
1 4,0.0,6020.0,1.0,0.0,1.0,0.0,-22120557.312634334
1 5,0.0,6020.0,1.0,0.0,1.0,1.0,-21804591.522882752
1 6,0.0,6020.0,1.0,0.0,1.0,2.0,-21282304.75430227
1 7,0.0,6020.0,1.0,0.0,1.0,2.0,-19352308.230399013
1 8,0,0,1,0,0,0,0
1 9,0,0,1,0,0,1,1
1 10,0.0,2.0,1.0,0.0,0.0,1.0,6.679665560653497
1 11,0,0,1,0,0,0,0
1 12,0.0,1407.0,1.0,0.0,1.0,1.0,-3724241.7894714116
1 13,0.0,1407.0,1.0,0.0,1.0,1.0,-4354544.949487125
1 14,0.0,1407.0,1.0,0.0,1.0,2.0,-4389094.148739294
1 15,0.0,22241.0,1.0,0.0,1.0,0.0,-1077414922.201141
1 16,0.0,22241.0,1.0,0.0,1.0,0.0,-1409191331.6749153
1 17,0.0,22241.0,1.0,0.0,1.0,0.0,-1469789892.5018697
1 18,0.0,22241.0,1.0,0.0,1.0,2.0,-1463601648.518652
1 19,0.0,22241.0,1.0,0.0,1.0,1.0,-1463614682.3713887
1 20,0.0,22241.0,1.0,0.0,1.0,2.0,-1463617963.2459497
1 21,0.0,22241.0,1.0,0.0,1.0,0.0,-1463629524.0873847
1 22,0.0,22241.0,1.0,0.0,1.0,2.0,-1463822003.0368428
1 23,0.0,22241.0,1.0,0.0,1.0,0.0,-1463634168.3637633
1 24,0.0,1803.0,1.0,0.0,1.0,0.0,-1463622980.3621926
1 25,0.0,17326.0,1.0,0.0,1.0,1.0,-3266473688.856752
1 26,0.0,17326.0,0.0,1.0,1.0,0.0,-3516280265.0682483
1 27,0.0,22241.0,1.0,0.0,1.0,3.0,-1463688020.5785296
1 28,0.0,17326.0,0.0,1.0,1.0,0.0,-3517849109.8257523
1 29,134,534,0,1,0,3,612890.6829049787
1 30,0.0,17326.0,0.0,1.0,1.0,2.0,-3518027844.7844934
1 31,0.0,17326.0,0.0,1.0,1.0,0.0,-3518003748.889005
1 32,0.0,17326.0,0.0,1.0,1.0,2.0,-3518028008.244214
1 33,0.0,17326.0,0.0,1.0,1.0,0.0,-3517349337.985448
1 34,0.0,30186.0,0.0,1.0,1.0,0.0,-61509210086.43456
1 35,0.0,30186.0,0.0,1.0,1.0,1.0,-61509213160.62666
1 36,0.0,30186.0,0.0,1.0,1.0,0.0,-61509213125.432236
1 37,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214674.1378
1 38,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214680.02323
1 39,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214679.27842
1 40,0.0,30186.0,1.0,0.0,1.0,3.0,-61509214697.37913
1 41,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214756.10353
1 42,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214683.45399
1 43,0.0,30186.0,1.0,0.0,1.0,2.0,-61509214681.45399
1 44,0.0,30186.0,1.0,0.0,1.0,2.0,-61509214678.79967
1 45,0.0,30186.0,1.0,0.0,1.0,2.0,-61509214668.17706
1 46,0.0,30186.0,1.0,0.0,1.0,2.0,-61509206850.26859
